Rank,Popularity,Score,Episodes
1,3,9.14,64
2,255,9.08,12
3,31,9.08,10
4,13,9.08,24
5,338,9.08,51
6,382,9.05,51
7,1735,9.05,1
8,10,9.05,148
9,547,9.04,13
10,696,9.04,13
11,700,9.03,110
12,735,8.99,12
13,404,8.99,12
14,533,8.96,22
15,19,8.96,1
16,127,8.95,201
17,422,8.95,1
18,105,8.94,24
19,939,8.93,1
20,47,8.91,25
21,537,8.9,7
22,1191,8.88,14
23,151,8.88,11
24,11,8.87,1
25,158,8.87,12
26,46,8.85,16
27,155,8.83,74
28,85,8.81,13
29,1086,8.81,12
30,457,8.8,1
31,957,8.8,11
32,111,8.79,10
33,2222,8.79,26
34,3954,8.79,26
35,273,8.78,26
36,43,8.78,1
37,42,8.76,26
38,302,8.75,12
39,638,8.75,13
40,1143,8.75,12
41,827,8.74,10
42,376,8.74,75
43,102,8.73,24
44,647,8.72,12
45,724,8.72,1
46,2917,8.71,47
47,731,8.71,10
48,763,8.71,4
49,2505,8.7,12
50,17,8.7,25
51,215,8.69,43
52,27,8.69,24
53,94,8.68,13
54,586,8.68,1
55,101,8.68,1
56,201,8.67,26
57,21,8.67,22
58,51,8.67,13
59,92,8.67,1
60,812,8.66,26
61,96,8.66,1
62,676,8.65,1
63,83,8.65,25
64,106,8.65,12
65,881,8.65,13
66,460,8.65,23
67,26,8.64,Unknown
68,59,8.64,27
69,1178,8.63,11
70,550,8.62,11
71,298,8.62,1
72,20,8.62,12
73,317,8.62,1
74,2,8.62,37
75,1561,8.6,1
76,203,8.59,1
77,470,8.59,1
78,2645,8.58,1
79,910,8.58,25
80,160,8.58,39
81,1186,8.58,11
82,848,8.58,13
83,744,8.58,13
84,472,8.58,11
85,5656,8.57,1
86,999,8.57,1
87,120,8.57,12
88,464,8.57,25
89,187,8.57,1
90,623,8.55,25
91,9,8.55,26
92,1464,8.55,1
93,175,8.55,1
94,857,8.55,13
95,416,8.54,13
96,39,8.54,12
97,1073,8.54,13
98,244,8.54,12
99,896,8.54,1
100,589,8.53,1
101,1115,8.53,13
102,480,8.53,1
103,331,8.53,25
104,1,8.53,25
105,776,8.53,101
106,315,8.52,1
107,188,8.52,23
108,1307,8.52,1
109,928,8.52,26
110,84,8.51,25
111,222,8.51,24
112,1419,8.51,12
113,327,8.51,47
114,4,8.51,12
115,1099,8.51,99
116,99,8.5,26
117,12,8.5,12
118,3466,8.5,1
119,1557,8.5,13
120,305,8.5,1
121,131,8.5,39
122,519,8.49,26
123,226,8.49,12
124,36,8.48,12
125,1507,8.48,24
126,2517,8.47,2
127,256,8.47,1
128,1010,8.47,15
129,174,8.46,26
130,419,8.46,12
131,335,8.46,1
132,986,8.46,6
133,673,8.46,1
134,555,8.46,1
135,1457,8.45,12
136,38,8.45,25
137,1955,8.45,8
138,1278,8.45,1
139,434,8.45,13
140,3228,8.45,10
141,283,8.45,112
142,1863,8.44,1
143,333,8.44,24
144,3013,8.44,2
145,133,8.44,24
146,254,8.43,12
147,1360,8.43,13
148,504,8.43,26
149,710,8.43,12
150,138,8.43,120
151,2272,8.42,25
152,1523,8.42,12
153,5097,8.42,1
154,2394,8.41,1
155,522,8.41,1
156,407,8.41,2
157,570,8.41,1
158,574,8.41,12
159,1016,8.41,1
160,757,8.41,23
161,914,8.4,25
162,1560,8.4,50
163,2090,8.4,2
164,473,8.4,12
165,344,8.4,62
166,63,8.4,12
167,2979,8.4,2
168,1726,8.4,12
169,208,8.4,12
170,242,8.39,12
171,1827,8.39,11
172,276,8.39,22
173,282,8.39,12
174,232,8.39,20
175,435,8.39,7
176,162,8.38,13
177,563,8.38,1
178,1304,8.38,4
179,383,8.38,1
180,412,8.38,12
181,1034,8.38,1
182,399,8.38,11
183,281,8.38,12
184,134,8.37,11
185,132,8.37,13
186,2774,8.37,Unknown
187,575,8.37,1
188,2262,8.37,10
189,578,8.36,25
190,182,8.36,13
191,165,8.36,10
192,1731,8.36,39
193,90,8.36,12
194,2325,8.35,1
195,387,8.35,11
196,41,8.35,24
197,1825,8.35,1
198,55,8.35,22
199,2452,8.34,25
200,2120,8.34,1
201,50,8.34,26
202,913,8.34,25
203,1677,8.34,26
204,79,8.34,15
205,3805,8.34,1
206,660,8.34,1
207,56,8.33,11
208,349,8.33,12
209,2032,8.33,50
210,2330,8.33,6
211,401,8.33,12
212,2804,8.33,33
213,1967,8.33,40
214,371,8.32,13
215,2991,8.32,2
216,245,8.32,24
217,542,8.32,12
218,1325,8.32,25
219,171,8.32,1
220,336,8.32,12
221,720,8.32,1
222,32,8.32,12
223,8425,8.32,13
224,386,8.32,1
225,185,8.32,13
226,3832,8.32,1
227,852,8.31,1
228,205,8.31,1
229,1543,8.31,8
230,624,8.31,26
231,237,8.31,25
232,3280,8.31,2
233,622,8.31,1
234,217,8.31,25
235,2026,8.31,14
236,402,8.3,94
237,446,8.3,24
238,458,8.3,1
239,633,8.3,26
240,2193,8.3,1
241,1475,8.3,51
242,60,8.3,24
243,973,8.3,13
244,719,8.3,13
245,2072,8.29,79
246,68,8.29,13
247,3039,8.29,1
248,1869,8.29,3
249,662,8.28,23
250,584,8.28,1
